Date,Open,Close
2010-01-04,7.62,7.64
2010-01-05,7.66,7.66
2010-01-06,7.66,7.53
2010-01-07,7.56,7.52
2010-01-08,7.51,7.57
2010-01-11,7.60,7.50
2010-01-12,7.47,7.42
2010-01-13,7.42,7.52
2010-01-14,7.50,7.48
2010-01-15,7.53,7.35
2010-01-19,7.44,7.68
2010-01-20,7.68,7.56
2010-01-21,7.57,7.43
2010-01-22,7.38,7.06
2010-01-25,7.23,7.25
2010-01-26,7.36,7.36
2010-01-27,7.39,7.42
2010-01-28,7.32,7.12
2010-01-29,7.18,6.86
2010-02-01,6.87,6.95
2010-02-02,7.00,7.00
2010-02-03,6.97,7.12
2010-02-04,7.03,6.86
2010-02-05,6.88,6.98
2010-02-08,6.99,6.93
2010-02-09,7.01,7.01
2010-02-10,7.00,6.97
2010-02-11,6.96,7.10
2010-02-12,7.08,7.16
2010-02-16,7.21,7.26
2010-02-17,7.29,7.23
2010-02-18,7.20,7.25
2010-02-19,7.21,7.20
2010-02-22,7.23,7.16
2010-02-23,7.14,7.04
2010-02-24,7.08,7.17
2010-02-25,7.05,7.21
2010-02-26,7.23,7.31
2010-03-01,7.35,7.46
2010-03-02,7.50,7.46
2010-03-03,7.46,7.48
2010-03-04,7.47,7.53
2010-03-05,7.68,7.82
2010-03-08,7.86,7.82
2010-03-09,7.80,7.96
2010-03-10,7.99,8.03
2010-03-11,8.00,8.05
2010-03-12,8.12,8.09
2010-03-15,8.05,7.99
2010-03-16,8.01,8.02
2010-03-17,8.03,8.00
2010-03-18,8.00,8.02
2010-03-19,8.03,7.94
2010-03-22,7.87,8.03
2010-03-23,8.06,8.16
2010-03-24,8.13,8.19
2010-03-25,8.25,8.09
2010-03-26,8.18,8.25
2010-03-29,8.32,8.30
2010-03-30,8.45,8.42
2010-03-31,8.41,8.39
2010-04-01,8.48,8.43
2010-04-05,8.39,8.52
2010-04-06,8.51,8.55
2010-04-07,8.56,8.59
2010-04-08,8.59,8.57
2010-04-09,8.62,8.64
2010-04-12,8.65,8.65
2010-04-13,8.64,8.66
2010-04-14,8.76,8.77
2010-04-15,8.78,8.89
2010-04-16,8.88,8.84
2010-04-19,8.82,8.82
2010-04-20,8.88,8.74
2010-04-21,9.24,9.26
2010-04-22,9.22,9.52
2010-04-23,9.57,9.67
2010-04-26,9.71,9.62
2010-04-27,9.55,9.36
2010-04-28,9.40,9.34
2010-04-29,9.39,9.59
2010-04-30,9.62,9.32
2010-05-03,9.42,9.51
2010-05-04,9.39,9.24
2010-05-05,9.04,9.14
2010-05-06,9.07,8.79
2010-05-07,8.70,8.42
2010-05-10,8.94,9.07
2010-05-11,8.99,9.16
2010-05-12,9.26,9.36
2010-05-13,9.40,9.23
2010-05-14,9.11,9.06
2010-05-17,9.10,9.08
2010-05-18,9.18,9.01
2010-05-19,8.91,8.87
2010-05-20,8.64,8.49
2010-05-21,8.31,8.65
2010-05-24,8.83,8.81
2010-05-25,8.55,8.76
2010-05-26,8.93,8.72
2010-05-27,8.95,9.05
2010-05-28,9.26,9.17
2010-06-01,9.27,9.32
2010-06-02,9.45,9.43
2010-06-03,9.47,9.40
2010-06-04,9.22,9.14
2010-06-07,9.22,8.96
2010-06-08,9.04,8.90
2010-06-09,8.98,8.69
2010-06-10,8.74,8.95
2010-06-11,8.87,9.05
2010-06-14,9.14,9.08
2010-06-15,9.13,9.27
2010-06-16,9.32,9.54
2010-06-17,9.66,9.71
2010-06-18,9.72,9.79
2010-06-21,9.92,9.65
2010-06-22,9.72,9.78
2010-06-23,9.81,9.68
2010-06-24,9.68,9.61
2010-06-25,9.64,9.53
2010-06-28,9.53,9.58
2010-06-29,9.43,9.15
2010-06-30,9.17,8.98
2010-07-01,9.08,8.87
2010-07-02,8.95,8.82
2010-07-06,8.96,8.88
2010-07-07,8.95,9.24
2010-07-08,9.37,9.22
2010-07-09,9.17,9.27
2010-07-12,9.23,9.19
2010-07-13,9.15,8.99
2010-07-14,8.91,9.03
2010-07-15,8.87,8.98
2010-07-16,9.04,8.93
2010-07-19,8.92,8.77
2010-07-20,8.68,9.00
2010-07-21,9.47,9.08
2010-07-22,9.20,9.25
2010-07-23,9.18,9.28
2010-07-26,9.29,9.26
2010-07-27,9.32,9.43
2010-07-28,9.42,9.32
2010-07-29,9.31,9.22
2010-07-30,9.14,9.19
2010-08-02,9.30,9.35
2010-08-03,9.32,9.35
2010-08-04,9.39,9.39
2010-08-05,9.35,9.35
2010-08-06,9.28,9.29
2010-08-09,9.34,9.35
2010-08-10,9.28,9.26
2010-08-11,9.12,8.94
2010-08-12,8.81,8.99
2010-08-13,8.99,8.90
2010-08-16,8.84,8.84
2010-08-17,8.93,9.00
2010-08-18,9.01,9.04
2010-08-19,9.03,8.92
2010-08-20,8.91,8.92
2010-08-23,8.99,8.78
2010-08-24,8.67,8.57
2010-08-25,8.50,8.67
2010-08-26,8.77,8.58
2010-08-27,8.63,8.63
2010-08-30,8.60,8.66
2010-08-31,8.64,8.68
2010-09-01,8.84,8.94
2010-09-02,8.97,9.01
2010-09-03,9.11,9.24
2010-09-07,9.17,9.21
2010-09-08,9.28,9.39
2010-09-09,9.47,9.40
2010-09-10,9.40,9.41
2010-09-13,9.49,9.54
2010-09-14,9.51,9.57
2010-09-15,9.58,9.65
2010-09-16,9.65,9.88
2010-09-17,9.92,9.83
2010-09-20,9.86,10.12
2010-09-21,10.14,10.13
2010-09-22,10.10,10.28
2010-09-23,10.23,10.32
2010-09-24,10.43,10.44
2010-09-27,10.50,10.40
2010-09-28,10.42,10.24
2010-09-29,10.26,10.26
2010-09-30,10.32,10.13
2010-10-01,10.22,10.09
2010-10-04,10.06,9.95
2010-10-05,10.07,10.32
2010-10-06,10.34,10.33
2010-10-07,10.37,10.33
2010-10-08,10.42,10.50
2010-10-11,10.53,10.55
2010-10-12,10.55,10.66
2010-10-13,10.72,10.72
2010-10-14,10.77,10.80
2010-10-15,10.98,11.24
2010-10-18,11.37,11.36
2010-10-19,10.84,11.05
2010-10-20,11.04,11.09
2010-10-21,11.16,11.05
2010-10-22,11.04,10.98
2010-10-25,11.04,11.03
2010-10-26,10.96,11.00
2010-10-27,10.99,10.99
2010-10-28,11.00,10.90
2010-10-29,10.87,10.75
2010-11-01,10.79,10.86
2010-11-02,10.96,11.05
2010-11-03,11.12,11.17
2010-11-04,11.27,11.37
2010-11-05,11.36,11.33
2010-11-08,11.33,11.38
2010-11-09,11.47,11.29
2010-11-10,11.31,11.36
2010-11-11,11.25,11.31
2010-11-12,11.29,11.00
2010-11-15,11.02,10.97
2010-11-16,10.92,10.77
2010-11-17,10.76,10.73
2010-11-18,10.90,11.02
2010-11-19,11.00,10.95
2010-11-22,10.95,11.19
2010-11-23,11.09,11.03
2010-11-24,11.14,11.24
2010-11-26,11.21,11.25
2010-11-29,11.27,11.32
2010-11-30,11.20,11.11
2010-12-01,11.26,11.30
2010-12-02,11.34,11.36
2010-12-03,11.32,11.34
2010-12-06,11.38,11.43
2010-12-07,11.56,11.36
2010-12-08,11.42,11.46
2010-12-09,11.50,11.42
2010-12-10,11.42,11.45
2010-12-13,11.58,11.49
2010-12-14,11.49,11.44
2010-12-15,11.43,11.44
2010-12-16,11.47,11.47
2010-12-17,11.49,11.45
2010-12-20,11.49,11.51
2010-12-21,11.54,11.58
2010-12-22,11.58,11.61
2010-12-23,11.61,11.56
2010-12-27,11.53,11.60
2010-12-28,11.64,11.62
2010-12-29,11.65,11.62
2010-12-30,11.62,11.56
2010-12-31,11.53,11.52
2011-01-03,11.63,11.77
2011-01-04,11.87,11.83
2011-01-05,11.77,11.93
2011-01-06,11.95,11.92
2011-01-07,11.93,12.00
2011-01-10,12.10,12.23
2011-01-11,12.32,12.20
2011-01-12,12.26,12.30
2011-01-13,12.33,12.35
2011-01-14,12.35,12.45
2011-01-18,11.77,12.17
2011-01-19,12.44,12.10
2011-01-20,12.02,11.88
2011-01-21,11.92,11.67
2011-01-24,11.67,12.05
2011-01-25,12.01,12.19
2011-01-26,12.25,12.28
2011-01-27,12.28,12.26
2011-01-28,12.29,12.00
2011-01-31,11.99,12.12
2011-02-01,12.19,12.32
2011-02-02,12.30,12.30
2011-02-03,12.28,12.27
2011-02-04,12.27,12.38
2011-02-07,12.42,12.57
2011-02-08,12.63,12.69
2011-02-09,12.69,12.79
2011-02-10,12.76,12.66
2011-02-11,12.67,12.74
2011-02-14,12.74,12.83
2011-02-15,12.83,12.85
2011-02-16,12.89,12.97
2011-02-17,12.76,12.80
2011-02-18,12.81,12.52
2011-02-22,12.22,12.09
2011-02-23,12.10,12.24
2011-02-24,12.29,12.25
2011-02-25,12.33,12.43
2011-02-28,12.54,12.61
2011-03-01,12.70,12.48
2011-03-02,12.50,12.58
2011-03-03,12.76,12.84
2011-03-04,12.86,12.86
2011-03-07,12.91,12.69
2011-03-08,12.68,12.71
2011-03-09,12.67,12.59
2011-03-10,12.47,12.38
2011-03-11,12.33,12.57
2011-03-14,12.61,12.63
2011-03-15,12.22,12.34
2011-03-16,12.21,11.79
2011-03-17,12.03,11.95
2011-03-18,12.04,11.81
2011-03-21,12.00,12.12
2011-03-22,12.23,12.19
2011-03-23,12.12,12.11
2011-03-24,12.21,12.32
2011-03-25,12.43,12.55
2011-03-28,12.61,12.52
2011-03-29,12.42,12.53
2011-03-30,12.52,12.45
2011-03-31,12.37,12.45
2011-04-01,12.54,12.31
2011-04-04,12.30,12.19
2011-04-05,12.04,12.10
2011-04-06,12.19,12.07
2011-04-07,12.07,12.07
2011-04-08,12.14,11.97
2011-04-11,11.93,11.81
2011-04-12,11.80,11.87
2011-04-13,11.96,12.00
2011-04-14,11.96,11.87
2011-04-15,11.90,11.70
2011-04-18,11.65,11.85
2011-04-19,11.90,12.07
2011-04-20,12.27,12.23
2011-04-21,12.68,12.53
2011-04-25,12.51,12.61
2011-04-26,12.63,12.52
2011-04-27,12.58,12.51
2011-04-28,12.36,12.38
2011-04-29,12.38,12.50
2011-05-02,12.49,12.37
2011-05-03,12.43,12.44
2011-05-04,12.44,12.48
2011-05-05,12.44,12.38
2011-05-06,12.49,12.38
2011-05-09,12.42,12.41
2011-05-10,12.46,12.48
2011-05-11,12.46,12.40
2011-05-12,12.36,12.38
2011-05-13,12.35,12.16
2011-05-16,12.11,11.90
2011-05-17,11.86,12.01
2011-05-18,12.02,12.14
2011-05-19,12.22,12.16
2011-05-20,12.13,11.97
2011-05-23,11.78,11.94
2011-05-24,11.98,11.86
2011-05-25,11.91,12.03
2011-05-26,12.00,11.96
2011-05-27,11.96,12.05
2011-05-31,12.18,12.42
2011-06-01,12.46,12.34
2011-06-02,12.38,12.36
2011-06-03,12.26,12.27
2011-06-06,12.35,12.07
2011-06-07,12.08,11.86
2011-06-08,11.85,11.87
2011-06-09,11.90,11.84
2011-06-10,11.81,11.64
2011-06-13,11.69,11.66
2011-06-14,11.79,11.87
2011-06-15,11.78,11.67
2011-06-16,11.68,11.61
2011-06-17,11.75,11.44
2011-06-20,11.33,11.26
2011-06-21,11.31,11.62
2011-06-22,11.61,11.52
2011-06-23,11.39,11.83
2011-06-24,11.83,11.66
2011-06-27,11.70,11.86
2011-06-28,11.92,11.97
2011-06-29,12.00,11.93
2011-06-30,11.95,11.99
2011-07-01,12.00,12.26
2011-07-05,12.25,12.48
2011-07-06,12.46,12.56
2011-07-07,12.67,12.76
2011-07-08,12.62,12.85
2011-07-11,12.73,12.64
2011-07-12,12.63,12.63
2011-07-13,12.80,12.79
2011-07-14,12.89,12.78
2011-07-15,12.90,13.03
2011-07-18,13.05,13.35
2011-07-19,13.50,13.46
